job_title,company,location,description,skills_list,date_posted
Software Engineer,Capgemini,Pune,"Looking for a candidate with experience in Power BI, React, Pandas, NumPy, Hadoop, Python.","Power BI, React, Pandas, NumPy, Hadoop, Python",2023-03-19
Data Scientist,Accenture,Pune,"Looking for a candidate with experience in Docker, Deep Learning, Tableau, Hadoop.","Docker, Deep Learning, Tableau, Hadoop",2024-09-25
Data Scientist,Oracle,Hyderabad,"Looking for a candidate with experience in PyTorch, Python, Tableau, Deep Learning, React, Hadoop, Docker.","PyTorch, Python, Tableau, Deep Learning, React, Hadoop, Docker",2024-07-29
Cloud Engineer,Oracle,Delhi,"Looking for a candidate with experience in AWS, React, Power BI, Deep Learning, Node.js, Spark, Pandas.","AWS, React, Power BI, Deep Learning, Node.js, Spark, Pandas",2024-07-28
Backend Developer,Google,Pune,"Looking for a candidate with experience in Power BI, Hadoop, Deep Learning, Spark, Docker, AWS.","Power BI, Hadoop, Deep Learning, Spark, Docker, AWS",2023-04-22
Software Engineer,Amazon,Mumbai,"Looking for a candidate with experience in NLP, NumPy, Python, PyTorch, React, Node.js, Machine Learning.","NLP, NumPy, Python, PyTorch, React, Node.js, Machine Learning",2023-05-01
Backend Developer,Microsoft,Hyderabad,"Looking for a candidate with experience in Node.js, React, Tableau, NLP.","Node.js, React, Tableau, NLP",2024-10-08
Software Engineer,Amazon,Pune,"Looking for a candidate with experience in Machine Learning, Scikit-learn, AWS, Java.","Machine Learning, Scikit-learn, AWS, Java",2024-08-12
Data Scientist,IBM,Bangalore,"Looking for a candidate with experience in PyTorch, Kubernetes, Node.js, Pandas, Tableau, Scikit-learn.","PyTorch, Kubernetes, Node.js, Pandas, Tableau, Scikit-learn",2024-03-05
Cloud Engineer,IBM,Bangalore,"Looking for a candidate with experience in PyTorch, Node.js, Pandas, Hadoop, Spark, NumPy.","PyTorch, Node.js, Pandas, Hadoop, Spark, NumPy",2024-01-31
NLP Engineer,Google,Chennai,"Looking for a candidate with experience in Docker, Python, TensorFlow, Tableau, Pandas, Node.js, Power BI.","Docker, Python, TensorFlow, Tableau, Pandas, Node.js, Power BI",2023-05-30
Data Analyst,Amazon,Mumbai,"Looking for a candidate with experience in Deep Learning, TensorFlow, PyTorch, Power BI, Hadoop, NumPy.","Deep Learning, TensorFlow, PyTorch, Power BI, Hadoop, NumPy",2023-08-18
NLP Engineer,Meta,Delhi,"Looking for a candidate with experience in Hadoop, Java, Spark, NLP, AWS, Power BI.","Hadoop, Java, Spark, NLP, AWS, Power BI",2024-08-14
Full Stack Developer,Flipkart,Bangalore,"Looking for a candidate with experience in Docker, Kubernetes, AWS, NLP, Tableau, SQL, Pandas.","Docker, Kubernetes, AWS, NLP, Tableau, SQL, Pandas",2023-07-22
Data Scientist,Adobe,Mumbai,"Looking for a candidate with experience in Deep Learning, Node.js, AWS, Power BI.","Deep Learning, Node.js, AWS, Power BI",2024-10-29
Data Scientist,TCS,Hyderabad,"Looking for a candidate with experience in Node.js, SQL, Pandas, Tableau, Spark, NumPy.","Node.js, SQL, Pandas, Tableau, Spark, NumPy",2024-03-28
Data Analyst,Meta,Chennai,"Looking for a candidate with experience in Spark, Java, Node.js, Scikit-learn.","Spark, Java, Node.js, Scikit-learn",2023-02-02
Full Stack Developer,TCS,Delhi,"Looking for a candidate with experience in Kubernetes, Docker, Tableau, Power BI, AWS.","Kubernetes, Docker, Tableau, Power BI, AWS",2024-08-03
Data Analyst,Flipkart,Chennai,"Looking for a candidate with experience in Kubernetes, Java, Node.js, Hadoop.","Kubernetes, Java, Node.js, Hadoop",2024-05-23
Data Scientist,Google,Hyderabad,"Looking for a candidate with experience in NumPy, NLP, AWS, Node.js, Kubernetes, Deep Learning.","NumPy, NLP, AWS, Node.js, Kubernetes, Deep Learning",2023-09-26
AI Engineer,Adobe,Pune,"Looking for a candidate with experience in Machine Learning, SQL, Python, Scikit-learn, AWS, PyTorch.","Machine Learning, SQL, Python, Scikit-learn, AWS, PyTorch",2023-02-23
Cloud Engineer,TCS,Bangalore,"Looking for a candidate with experience in Power BI, Scikit-learn, AWS, NumPy, Tableau, Hadoop, Python.","Power BI, Scikit-learn, AWS, NumPy, Tableau, Hadoop, Python",2024-01-05
Machine Learning Engineer,Flipkart,Hyderabad,"Looking for a candidate with experience in Scikit-learn, Node.js, TensorFlow, Tableau.","Scikit-learn, Node.js, TensorFlow, Tableau",2023-10-25
Machine Learning Engineer,Google,Mumbai,"Looking for a candidate with experience in SQL, NLP, React, Spark.","SQL, NLP, React, Spark",2023-02-28
AI Engineer,Accenture,Delhi,"Looking for a candidate with experience in Docker, Tableau, React, NumPy, Scikit-learn.","Docker, Tableau, React, NumPy, Scikit-learn",2024-09-20
Cloud Engineer,TCS,Hyderabad,"Looking for a candidate with experience in Java, Deep Learning, Python, Node.js, SQL, Kubernetes.","Java, Deep Learning, Python, Node.js, SQL, Kubernetes",2023-09-01
NLP Engineer,IBM,Chennai,"Looking for a candidate with experience in Python, Docker, Power BI, Machine Learning, Spark.","Python, Docker, Power BI, Machine Learning, Spark",2024-02-16
Machine Learning Engineer,Google,Mumbai,"Looking for a candidate with experience in NLP, Machine Learning, Power BI, TensorFlow.","NLP, Machine Learning, Power BI, TensorFlow",2023-01-19
Software Engineer,Meta,Bangalore,"Looking for a candidate with experience in PyTorch, Tableau, Spark, Deep Learning, Scikit-learn, Hadoop, React.","PyTorch, Tableau, Spark, Deep Learning, Scikit-learn, Hadoop, React",2024-10-15
Data Scientist,Amazon,Pune,"Looking for a candidate with experience in Java, Power BI, Machine Learning, Hadoop.","Java, Power BI, Machine Learning, Hadoop",2024-04-12
Data Analyst,Infosys,Bangalore,"Looking for a candidate with experience in Deep Learning, Node.js, Python, AWS, Scikit-learn.","Deep Learning, Node.js, Python, AWS, Scikit-learn",2023-12-30
Cloud Engineer,Google,Delhi,"Looking for a candidate with experience in Python, NLP, TensorFlow, PyTorch, Power BI, Docker.","Python, NLP, TensorFlow, PyTorch, Power BI, Docker",2024-11-30
Data Analyst,TCS,Pune,"Looking for a candidate with experience in Power BI, AWS, Python, TensorFlow, Kubernetes, Java.","Power BI, AWS, Python, TensorFlow, Kubernetes, Java",2023-11-19
DevOps Engineer,Microsoft,Hyderabad,"Looking for a candidate with experience in Deep Learning, AWS, Kubernetes, Spark.","Deep Learning, AWS, Kubernetes, Spark",2023-09-30
